Model ID,Sum,NaTa_t.soma.gNaTa_tbar,Nap_Et2.soma.gNap_Et2bar,K_Pst.soma.gK_Pstbar,K_Tst.soma.gK_Tstbar,SK_E2.soma.gSK_E2bar,SKv3_1.soma.gSKv3_1bar,Ca_HVA.soma.gCa_HVAbar,Ca_LVAst.soma.gCa_LVAstbar,CaDynamics_E2.soma.gamma,CaDynamics_E2.soma.decay,none.soma.g_pas,none.axon.g_pas,none.dend.g_pas,none.apic.g_pas,Im.apic.gImbar,NaTa_t.apic.gNaTa_tbar,SKv3_1.apic.gSKv3_1bar,Ca_HVA.apic.gCa_HVAbar,Ca_LVAst.apic.gCa_LVAstbar,SK_E2.apic.gSK_E2bar,CaDynamics_E2.apic.gamma,CaDynamics_E2.apic.decay
994,4.26,2.66,0.000159,0.00464,0.0661,0.0431,0.65,0.000307,0.00217,0.000593,702,0.0000368,0.0000391,0.0000691,0.0000434,0.000084,0.0217,0.000202,0.000717,0.0073,0.000992,6.15E-04,1.26E+02
224,4.29,2.53,0.000175,5.21E-03,0.0745,0.0469,0.764,0.000374,0.00286,0.000595,650,0.0000352,0.0000409,0.0000619,0.0000454,0.0000576,0.0226,0.000253,0.000746,0.00644,0.00127,5.95E-04,1.17E+02
596,4.29,2.53,0.000175,5.21E-03,0.0745,0.0469,0.764,0.000374,0.00286,0.000602,650,0.0000352,0.0000409,0.0000619,0.0000454,5.76E-05,0.0226,0.000253,0.000746,0.00644,0.00127,5.95E-04,1.17E+02
480,4.37,2.53,0.000175,0.00521,0.0745,0.0469,0.764,0.000374,0.00286,0.000595,650,0.0000352,0.0000409,0.0000619,0.0000454,0.0000576,0.0226,0.000271,0.000746,0.00644,0.00127,5.99E-04,1.17E+02
417,4.39,2.66,0.000152,0.00464,0.0661,0.0429,0.65,0.000307,0.00218,0.000592,711,0.0000368,0.0000391,0.0000693,0.0000434,0.000084,0.0217,0.000203,0.000703,0.00741,0.000992,6.15E-04,1.26E+02
785,4.40,2.66,0.000149,0.00485,0.0666,0.0429,0.648,0.000307,0.00217,0.000593,710,0.0000368,0.0000392,0.0000689,0.0000434,0.000084,0.0217,0.000203,0.000703,0.00733,0.00101,6.15E-04,1.26E+02
172,4.40,2.66,0.000149,0.00464,0.0661,0.0429,0.65,0.000307,0.00217,0.000593,711,0.0000368,0.0000391,0.0000693,0.0000434,0.000084,0.0217,0.000203,0.000703,0.00732,0.000992,6.15E-04,1.26E+02
847,4.40,2.66,0.000149,4.64E-03,0.0661,4.29E-02,0.65,0.000307,0.00217,0.000593,711,0.0000368,0.0000391,0.0000693,0.0000434,0.000084,0.0217,0.000203,0.000703,0.00733,0.000992,6.15E-04,1.26E+02
63,4.44,2.66,5.66E-04,0.00764,0.08,0.033,0.723,0.000356,0.00278,0.000596,667,0.0000359,0.0000411,0.0000636,0.0000465,0.0000565,0.0221,0.000256,0.000738,0.00652,0.0012,5.97E-04,9.97E+01
769,4.45,2.64,0.000144,0.00485,0.0666,0.0429,0.648,0.000314,0.00218,0.000595,710,0.000036,0.0000392,0.0000689,0.0000434,0.0000836,0.0217,0.000203,0.000703,0.00733,0.00101,6.15E-04,1.26E+02
