Presynaptic column	Presynaptic cell type	Connected presynaptic cells
A1	L4py	8
A1	L6cc	14
A1	L34	31
A1	L45Peak	0
A1	L5tt	2
A1	L6ccinv	1
A1	SymLocal4	2
A1	L4ss	2
A1	L1	0
A1	L2	0
A1	L23Trans	0
A1	L5st	59
A1	VPM	0
A1	L4sp	0
A1	L56Trans	0
A1	L6ct	0
A1	SymLocal1	0
A1	SymLocal2	0
A1	SymLocal3	0
A1	SymLocal5	0
A1	SymLocal6	0
A1	L45Sym	0
A2	L4sp	0
A2	L6cc	12
A2	L4py	1
A2	L56Trans	1
A2	L34	30
A2	L1	0
A2	L45Sym	0
A2	L6ccinv	5
A2	L4ss	0
A2	SymLocal1	0
A2	L5tt	0
A2	SymLocal6	0
A2	SymLocal2	0
A2	L6ct	0
A2	L5st	38
A2	L23Trans	0
A2	VPM	0
A2	L45Peak	1
A2	SymLocal5	0
A2	SymLocal4	0
A2	SymLocal3	0
A2	L2	0
A3	SymLocal6	0
A3	SymLocal5	0
A3	SymLocal3	0
A3	SymLocal2	0
A3	L6ct	0
A3	L4ss	0
A3	L2	0
A3	L34	2
A3	L4sp	0
A3	L45Peak	0
A3	SymLocal1	0
A3	L1	0
A3	SymLocal4	1
A3	L4py	7
A3	L5tt	2
A3	L6cc	33
A3	L5st	11
A3	L23Trans	0
A3	L6ccinv	7
A3	L56Trans	6
A3	L45Sym	1
A3	VPM	1
A4	SymLocal5	0
A4	VPM	0
A4	SymLocal4	1
A4	L6ccinv	12
A4	SymLocal1	0
A4	SymLocal2	0
A4	SymLocal3	0
A4	L56Trans	6
A4	L34	7
A4	SymLocal6	0
A4	L1	0
A4	L2	0
A4	L45Sym	0
A4	L6cc	44
A4	L4sp	0
A4	L4py	3
A4	L45Peak	1
A4	L23Trans	0
A4	L5tt	6
A4	L6ct	0
A4	L4ss	0
A4	L5st	0
Alpha	SymLocal1	0
Alpha	L4ss	0
Alpha	L4py	9
Alpha	L45Sym	0
Alpha	L56Trans	0
Alpha	L4sp	0
Alpha	L34	135
Alpha	L45Peak	0
Alpha	L23Trans	0
Alpha	L1	0
Alpha	SymLocal2	0
Alpha	SymLocal5	0
Alpha	L2	21
Alpha	SymLocal6	0
Alpha	L6ct	5
Alpha	L6cc	32
Alpha	L6ccinv	11
Alpha	L5st	53
Alpha	VPM	0
Alpha	L5tt	0
Alpha	SymLocal4	2
Alpha	SymLocal3	0
B1	L4py	72
B1	VPM	4
B1	SymLocal3	0
B1	SymLocal4	9
B1	L1	12
B1	SymLocal5	0
B1	L4sp	22
B1	L4ss	13
B1	L23Trans	1
B1	L34	259
B1	SymLocal6	0
B1	L5tt	57
B1	L2	69
B1	L45Sym	9
B1	L6ccinv	22
B1	L5st	455
B1	L6cc	124
B1	L56Trans	15
B1	L6ct	10
B1	SymLocal1	3
B1	SymLocal2	1
B1	L45Peak	5
B2	SymLocal2	4
B2	SymLocal6	1
B2	L45Peak	42
B2	L6ct	27
B2	L4ss	51
B2	SymLocal4	44
B2	L2	328
B2	L56Trans	49
B2	L4py	30
B2	L34	501
B2	SymLocal3	4
B2	L1	13
B2	L6ccinv	91
B2	L5tt	63
B2	VPM	19
B2	SymLocal5	0
B2	SymLocal1	0
B2	L6cc	91
B2	L45Sym	34
B2	L4sp	9
B2	L5st	461
B2	L23Trans	7
B3	L4py	97
B3	L45Sym	16
B3	L4ss	13
B3	L5tt	44
B3	L1	3
B3	L45Peak	15
B3	L4sp	1
B3	L34	218
B3	L56Trans	25
B3	L23Trans	2
B3	L2	173
B3	L6ccinv	47
B3	SymLocal5	1
B3	L6cc	167
B3	SymLocal1	0
B3	SymLocal2	0
B3	SymLocal3	5
B3	SymLocal6	0
B3	L6ct	28
B3	VPM	0
B3	SymLocal4	15
B3	L5st	70
B4	SymLocal1	0
B4	L1	0
B4	SymLocal3	0
B4	SymLocal5	0
B4	L6cc	44
B4	VPM	0
B4	L56Trans	3
B4	L5tt	12
B4	L6ccinv	45
B4	SymLocal6	0
B4	SymLocal2	0
B4	L6ct	24
B4	L45Peak	5
B4	SymLocal4	3
B4	L5st	22
B4	L4sp	0
B4	L45Sym	0
B4	L4py	30
B4	L2	28
B4	L4ss	0
B4	L34	62
B4	L23Trans	0
Beta	L1	2
Beta	L4py	0
Beta	L5tt	2
Beta	L6ccinv	63
Beta	L6cc	63
Beta	L5st	74
Beta	L56Trans	3
Beta	SymLocal1	0
Beta	L45Sym	0
Beta	L45Peak	0
Beta	L4sp	3
Beta	L4ss	0
Beta	L6ct	10
Beta	VPM	0
Beta	SymLocal6	0
Beta	SymLocal5	0
Beta	L23Trans	0
Beta	L34	38
Beta	SymLocal3	0
Beta	SymLocal2	0
Beta	L2	89
Beta	SymLocal4	0
C1	SymLocal2	0
C1	L6ccinv	69
C1	SymLocal1	6
C1	L6ct	146
C1	L6cc	101
C1	L23Trans	6
C1	L56Trans	24
C1	L4py	59
C1	SymLocal6	0
C1	SymLocal5	0
C1	L5st	678
C1	L1	28
C1	L34	436
C1	L45Peak	20
C1	L45Sym	7
C1	L5tt	15
C1	SymLocal4	34
C1	L4sp	153
C1	SymLocal3	5
C1	VPM	26
C1	L4ss	95
C1	L2	371
C2	SymLocal2	26
C2	L1	177
C2	L2	1802
C2	SymLocal1	106
C2	SymLocal4	176
C2	SymLocal3	224
C2	L23Trans	79
C2	L4ss	1481
C2	L34	2348
C2	L5st	1102
C2	L6ccinv	248
C2	L4sp	519
C2	SymLocal6	0
C2	L45Peak	203
C2	L6cc	223
C2	L45Sym	145
C2	SymLocal5	4
C2	L5tt	379
C2	L56Trans	195
C2	L6ct	582
C2	VPM	280
C2	L4py	374
C3	SymLocal5	0
C3	SymLocal6	0
C3	L4ss	31
C3	VPM	3
C3	L56Trans	26
C3	SymLocal3	9
C3	SymLocal1	2
C3	L2	348
C3	SymLocal2	0
C3	L4py	88
C3	SymLocal4	22
C3	L45Peak	16
C3	L5st	84
C3	L6ct	39
C3	L6ccinv	103
C3	L5tt	68
C3	L4sp	104
C3	L45Sym	17
C3	L34	675
C3	L1	16
C3	L6cc	237
C3	L23Trans	2
C4	L1	0
C4	L45Sym	0
C4	L2	18
C4	L23Trans	0
C4	L4py	3
C4	L56Trans	0
C4	L6ct	0
C4	L4sp	21
C4	L45Peak	0
C4	L5tt	24
C4	L4ss	0
C4	SymLocal1	0
C4	L6ccinv	23
C4	L34	11
C4	VPM	0
C4	SymLocal2	0
C4	SymLocal6	0
C4	L6cc	112
C4	SymLocal5	0
C4	SymLocal4	0
C4	SymLocal3	0
C4	L5st	20
D1	L4ss	10
D1	L6cc	43
D1	L4py	22
D1	SymLocal4	11
D1	L45Peak	7
D1	SymLocal5	1
D1	L5st	152
D1	L34	196
D1	L1	6
D1	L56Trans	31
D1	L5tt	0
D1	L6ct	15
D1	SymLocal6	0
D1	SymLocal2	0
D1	VPM	10
D1	L23Trans	1
D1	SymLocal3	1
D1	L45Sym	12
D1	L4sp	79
D1	L6ccinv	11
D1	L2	106
D1	SymLocal1	0
D2	L4py	89
D2	L2	373
D2	SymLocal5	1
D2	L45Peak	23
D2	VPM	5
D2	L6ccinv	100
D2	L45Sym	11
D2	L4sp	86
D2	SymLocal2	1
D2	L34	1001
D2	SymLocal4	24
D2	L6ct	21
D2	L1	49
D2	L5st	101
D2	L6cc	179
D2	L23Trans	11
D2	L56Trans	43
D2	L5tt	102
D2	SymLocal1	3
D2	L4ss	85
D2	SymLocal3	18
D2	SymLocal6	0
D3	L4sp	8
D3	L6ct	9
D3	SymLocal5	0
D3	L34	327
D3	L1	9
D3	L6ccinv	41
D3	SymLocal6	0
D3	L6cc	83
D3	SymLocal3	0
D3	L5st	58
D3	VPM	0
D3	SymLocal4	3
D3	L4ss	11
D3	L5tt	31
D3	L23Trans	0
D3	L56Trans	1
D3	L2	63
D3	L45Peak	0
D3	L45Sym	0
D3	SymLocal1	0
D3	SymLocal2	0
D3	L4py	59
D4	L4ss	0
D4	L4sp	0
D4	L4py	0
D4	L6ccinv	7
D4	L56Trans	0
D4	VPM	0
D4	L2	70
D4	L6cc	73
D4	L5tt	0
D4	L5st	0
D4	L1	0
D4	L23Trans	0
D4	L45Sym	0
D4	SymLocal6	0
D4	SymLocal5	0
D4	SymLocal4	0
D4	L34	0
D4	SymLocal2	0
D4	SymLocal1	0
D4	L45Peak	0
D4	L6ct	0
D4	SymLocal3	0
Delta	L4ss	0
Delta	L6ct	0
Delta	L4sp	9
Delta	L1	0
Delta	L2	0
Delta	L34	6
Delta	L23Trans	0
Delta	L45Sym	0
Delta	L4py	0
Delta	L56Trans	0
Delta	L6ccinv	0
Delta	L5st	35
Delta	SymLocal3	0
Delta	SymLocal1	0
Delta	SymLocal2	0
Delta	L6cc	2
Delta	L5tt	0
Delta	L45Peak	1
Delta	SymLocal5	0
Delta	SymLocal6	0
Delta	VPM	0
Delta	SymLocal4	0
E1	L2	22
E1	SymLocal4	1
E1	L56Trans	4
E1	L5st	1
E1	L4ss	1
E1	L34	8
E1	L45Sym	1
E1	L6ccinv	9
E1	VPM	6
E1	L4py	0
E1	L6cc	2
E1	L1	0
E1	SymLocal3	0
E1	SymLocal2	0
E1	SymLocal1	0
E1	L6ct	0
E1	L5tt	0
E1	L4sp	0
E1	L45Peak	0
E1	L23Trans	0
E1	SymLocal5	0
E1	SymLocal6	0
E2	SymLocal6	0
E2	VPM	0
E2	L56Trans	0
E2	L6cc	121
E2	SymLocal5	0
E2	L1	4
E2	L34	6
E2	L6ccinv	17
E2	L45Sym	0
E2	SymLocal4	0
E2	L5st	0
E2	SymLocal2	0
E2	L23Trans	0
E2	L45Peak	0
E2	L4py	0
E2	L4sp	0
E2	SymLocal3	0
E2	SymLocal1	0
E2	L5tt	0
E2	L6ct	0
E2	L2	1
E2	L4ss	0
E3	L5tt	0
E3	L45Sym	0
E3	L45Peak	0
E3	SymLocal6	0
E3	SymLocal5	0
E3	SymLocal4	0
E3	SymLocal3	0
E3	SymLocal2	0
E3	VPM	0
E3	SymLocal1	0
E3	L5st	0
E3	L6ccinv	29
E3	L6cc	4
E3	L56Trans	0
E3	L4ss	0
E3	L4sp	0
E3	L34	12
E3	L6ct	6
E3	L4py	0
E3	L1	0
E3	L2	0
E3	L23Trans	0
E4	L23Trans	0
E4	SymLocal6	0
E4	L1	0
E4	SymLocal5	0
E4	L2	0
E4	L6ccinv	11
E4	L6cc	18
E4	VPM	0
E4	SymLocal3	0
E4	SymLocal4	0
E4	L45Sym	0
E4	L5st	0
E4	L34	0
E4	L4sp	0
E4	L4ss	0
E4	L56Trans	0
E4	L5tt	0
E4	L6ct	0
