t	Vm run 00	Vm run 01	Vm run 02	Vm run 03	Vm run 04	Vm run 05
100.0	-61.4607218758	-55.1366909604	-67.1747143695	-68.4929157306	-63.0638929438	-64.4992979401
100.025	-61.4665809176	-55.1294343391	-67.1580037786	-68.4976793109	-63.0723438756	-64.5014820696
100.05	-61.4735021526	-55.1223216173	-67.1424366078	-68.502453993	-63.0811421737	-64.5039029367
100.075	-61.4814187507	-55.1153403448	-67.1279980017	-68.507159694	-63.0901755116	-64.5065804816
100.1	-61.4902299366	-55.1084827679	-67.1146643554	-68.5117364685	-63.099328575	-64.5095292622
100.125	-61.4998109715	-55.1017452848	-67.1024068088	-68.5161309303	-63.1084983115	-64.5127592562
100.15	-61.5100322272	-55.0951277879	-67.0911936516	-68.520283147	-63.1176046543	-64.5162565145
100.175	-61.520774697	-55.0886329807	-67.0809651511	-68.5241248627	-63.1265948345	-64.5199669758
100.2	-61.5319378866	-55.0822657247	-67.0716303036	-68.527586162	-63.1354407625	-64.5236178567
100.225	-61.5434415316	-55.0760324418	-67.0630843595	-68.5306045506	-63.1441308503	-64.5267883885
100.25	-61.5552239702	-55.0698290529	-67.0552288239	-68.5331323489	-63.1526607988	-64.5291573143
100.275	-61.5672393637	-55.0634731098	-67.0479840219	-68.5351408408	-63.1610271307	-64.5305478092
100.3	-61.5794549301	-55.0567641237	-67.0412933149	-68.5366212767	-63.1692245917	-64.5312162105
100.325	-61.5918486075	-55.0495240482	-67.0351216913	-68.5375835431	-63.1772465532	-64.5310726221
100.35	-61.6044071742	-55.04161689	-67.0294516728	-68.5380359281	-63.1854426235	-64.5301660989
100.375	-61.6171247189	-55.0329544824	-67.0242785495	-68.5379703956	-63.1937447433	-64.5285984142
100.4	-61.6300013418	-55.0234940391	-67.0196060172	-68.537363433	-63.2020649148	-64.5264937576
100.425	-61.6430420082	-55.0132313392	-67.0154426463	-68.5361868826	-63.210321752	-64.5239819526
100.45	-61.6562555107	-55.0021921755	-67.0117992461	-68.5344201801	-63.2184474525	-64.521189572
100.475	-61.6696535271	-54.9904237722	-67.0086870278	-68.5320588734	-63.2263920004	-64.5182354148
100.5	-61.6832497733	-54.9779871754	-67.0061164043	-68.5291181357	-63.2341246608	-64.5152284273
100.525	-61.6970592572	-54.964951061	-67.0040962643	-68.5256321658	-63.2416331099	-64.5122919062
100.55	-61.7110976368	-54.9513870216	-67.002633574	-68.5216510457	-63.2492567524	-64.5095312626
100.575	-61.7253806837	-54.937366185	-67.0016399605	-68.5172364861	-63.2568659343	-64.5070324714
100.6	-61.7399238479	-54.9229569335	-67.0009586907	-68.5124574624	-63.2644103578	-64.5048670917
100.625	-61.7545967731	-54.9082234792	-67.0004314366	-68.5073863218	-63.2718504378	-64.5030958586
100.65	-61.769221463	-54.8932249972	-66.9999426366	-68.5023501124	-63.2791480307	-64.5017707053
100.675	-61.7836572532	-54.8780150077	-66.9994329355	-68.4973424737	-63.2862663289	-64.5009358844
100.7	-61.7978287477	-54.8626408264	-66.9988931997	-68.4924041408	-63.2930371749	-64.500628597
100.725	-61.8117205935	-54.8471430788	-66.9983508743	-68.4875800007	-63.2992120214	-64.5008793579
100.75	-61.8253610465	-54.8315553857	-66.9978557321	-68.4829127001	-63.3045666505	-64.5017122519
100.775	-61.8388052195	-54.8159043394	-66.9974670987	-68.4784343002	-63.308958088	-64.5031451938
100.8	-61.8521218018	-54.8002098224	-66.9972434833	-68.4741591072	-63.3123321464	-64.5051901386
100.825	-61.8653837736	-54.7844856472	-66.9972354852	-68.4700834654	-63.3147069994	-64.5078531915
100.85	-61.8786624755	-54.7687404321	-66.9974821701	-68.4661914947	-63.3161510547	-64.5111346912
100.875	-61.8920241553	-54.7529786062	-66.9979512635	-68.4624622387	-63.3167632519	-64.5150293858
100.9	-61.9055282087	-54.7372014385	-66.9945142382	-68.4588749851	-63.316658051	-64.5195265929
100.925	-61.9192265194	-54.7214080076	-66.9864964481	-68.4554119952	-63.3159549302	-64.5233838734
100.95	-61.9331634734	-54.7055960553	-66.9746444546	-68.4520593098	-63.3147714851	-64.5255860952
100.975	-61.9473548581	-54.6897626951	-66.959895705	-68.4488065474	-63.3132191692	-64.5255842114
101.0	-61.9617836378	-54.6739049673	-66.9430422097	-68.4456463239	-63.3114008888	-64.5231963532
101.025	-61.9764116479	-54.6580202453	-66.9246950971	-68.4425736179	-63.3094098543	-64.5184981605
101.05	-61.9911942892	-54.6421065089	-66.9053187937	-68.4395852256	-63.307329262	-64.5117297257
101.075	-62.0060701059	-54.6261670778	-66.8852702051	-68.4366793549	-63.3052325047	-64.5032186767
101.1	-62.0209586216	-54.6102098362	-66.8648291284	-68.4338553646	-63.3031837027	-64.493322537
101.125	-62.0357734203	-54.5942444365	-66.8442194413	-68.4311136242	-63.3012384143	-64.4823906053
101.15	-62.0504261408	-54.5782803219	-66.8236233368	-68.4284554553	-63.2994444288	-64.4707420919
101.175	-62.064828831	-54.5623258747	-66.8031908539	-68.4258831168	-63.2978425793	-64.4586559857
101.2	-62.0789000531	-54.5463882173	-66.7830463778	-68.4233997982	-63.2964675361	-64.4463685095
101.225	-62.0925295401	-54.5304732698	-66.7632932351	-68.4210096005	-63.2953485537	-64.4340732243
101.25	-62.1055707138	-54.5145856696	-66.7440170928	-68.4187188078	-63.2945101608	-64.4219224555
101.275	-62.117867982	-54.4987273479	-66.7252886	-68.4165357394	-63.2939727842	-64.4100306309
101.3	-62.1292898692	-54.4748042042	-66.7071655251	-68.4144698967	-63.2937533075	-64.3984796804
101.325	-62.1397493854	-54.4447548467	-66.6896945406	-68.4125312067	-63.2938655649	-64.3873257109
101.35	-62.1492092539	-54.410846914	-66.6729127407	-68.4107295681	-63.2943207775	-64.3766058021
101.375	-62.157676957	-54.3746847648	-66.6568489465	-68.4090746305	-63.2951279337	-64.3663439947
101.4	-62.1651951749	-54.3373060948	-66.6415248386	-68.4075757011	-63.2962941224	-64.3565559974
101.425	-62.1718314237	-54.2993622415	-66.6269559444	-68.406241707	-63.2978248216	-64.3472525475
101.45	-62.1776688555	-54.2612520463	-66.6131516635	-68.405081177	-63.2997241474	-64.3384416096
101.475	-62.1827989298	-54.2232102716	-66.6001143695	-68.4041022268	-63.3019950671	-64.3301296923
101.5	-62.1873159896	-54.1853650784	-66.5878385342	-68.3988120143	-63.3046395808	-64.3223225614
101.525	-62.191313482	-54.1477756411	-66.5763107402	-68.3890588736	-63.3076588747	-64.3150255728
101.55	-62.1948814755	-54.1104569831	-66.5655108191	-68.3759707888	-63.3110534501	-64.3082437903
101.575	-62.198105146	-54.0733964695	-66.5554138137	-68.3607509655	-63.3148232318	-64.301982417
101.6	-62.2010639534	-54.0365647658	-66.5459922502	-68.3443801319	-63.3189676578	-64.2962502062
101.625	-62.2038312952	-53.999947392	-66.5372182683	-68.327589548	-63.3234755188	-64.2910581163
101.65	-62.2064744761	-53.9635259462	-66.529065322	-68.3109002823	-63.3278125369	-64.2864170838
101.675	-62.2090548781	-53.9272721828	-66.5215093571	-68.2946711022	-63.3313845546	-64.2823366715
101.7	-62.2116397886	-53.8911507527	-66.5145294855	-68.2791401963	-63.3338163519	-64.2788245778
101.725	-62.2142988503	-53.855122979	-66.5081082423	-68.2644581449	-63.3349674149	-64.2758866256
101.75	-62.2170975375	-53.8191495047	-66.5022315268	-68.250712915	-63.3348623257	-64.2735269453
101.775	-62.2200915424	-53.7831918095	-66.4968883287	-68.2379483995	-63.3336223943	-64.2717482072
101.8	-62.2233224073	-53.7472129675	-66.4920703272	-68.2261779888	-63.3314177026	-64.2705248953
101.825	-62.2268154962	-53.7065030479	-66.4877714314	-68.215394413	-63.3284370272	-64.2697976104
101.85	-62.2304810974	-53.6613860353	-66.4839657561	-68.2055768258	-63.3248698957	-64.2694894953
101.875	-62.234134102	-53.6129324345	-66.4806002928	-68.1966958621	-63.3208963105	-64.2695268818
101.9	-62.2375701318	-53.562130509	-66.477601328	-68.1887172185	-63.3166812464	-64.2698532083
101.925	-62.2406279774	-53.5097318874	-66.4748874241	-68.1816041544	-63.3080049284	-64.270434367
101.95	-62.2432138183	-53.4562627547	-66.4723824091	-68.1753192111	-63.2944344801	-64.271257865
101.975	-62.2452991873	-53.4020710118	-66.4700246135	-68.1698253592	-63.2770781508	-64.2723287948
102.0	-62.2469076167	-53.3473733196	-66.467771392	-68.1650867335	-63.2572140633	-64.273664829
102.025	-62.2480989333	-53.292293171	-66.4655996793	-68.161069072	-63.2285170857	-64.2752914966
102.05	-62.2489552425	-53.2368893617	-66.4635040077	-68.1577399464	-63.1926140618	-64.2772382929
102.075	-62.2495699098	-53.1811764586	-66.4617633285	-68.15506885	-63.1522249693	-64.2795357544
102.1	-62.250039575	-53.1251391685	-66.4602860927	-68.153027194	-63.1095728552	-64.282213422
102.125	-62.2504587429	-53.0687422501	-66.4590574628	-68.1515882466	-63.0662532609	-64.285298534
102.15	-62.2509163752	-53.0119372435	-66.4580822939	-68.15072704	-63.023339328	-64.2876244806
102.175	-62.2514939523	-52.9546666635	-66.4573725111	-68.150420263	-62.9815182192	-64.2888000148
102.2	-62.2522645655	-52.896866338	-66.4569419959	-68.1506461485	-62.9412094473	-64.2886057197
102.225	-62.2532927016	-52.8384666609	-66.4568039775	-68.1513843628	-62.9026548525	-64.287236397
102.25	-62.254634474	-52.7793933623	-66.456969704	-68.1526158996	-62.8659812121	-64.2850197335
102.275	-62.2563381188	-52.7191447138	-66.4574478924	-68.1543229802	-62.8312404988	-64.2822928867
102.3	-62.258444638	-52.6572217207	-66.4582294402	-68.1564889607	-62.7984343462	-64.2791330268
102.325	-62.2609834564	-52.5932937981	-66.4592824937	-68.1590982459	-62.7675280876	-64.2754485045
102.35	-62.2639676774	-52.5271888157	-66.4605616914	-68.1621362088	-62.738459389	-64.2713668308
102.375	-62.2673935029	-52.4588385703	-66.462021119	-68.1655891165	-62.7111448549	-64.2668069034
102.4	-62.2712440525	-52.3882294482	-66.4636235443	-68.1694440613	-62.6854859965	-64.2617838066
102.425	-62.2754953446	-52.3153681178	-66.4653444128	-68.1736888969	-62.6613747548	-64.256389188
102.45	-62.2801221478	-52.2402601403	-66.4671719792	-68.1783121792	-62.6386984202	-64.2507575458
102.475	-62.2851023772	-52.1628969689	-66.4691053965	-68.1833031115	-62.6173438233	-64.2450396537
102.5	-62.2904196714	-52.0832481607	-66.4711520996	-68.1886514734	-62.5972007745	-64.2393847086
102.525	-62.296064353	-52.0012572258	-66.4733249984	-68.1943474997	-62.5781647847	-64.2339297985
102.55	-62.3020331976	-51.9168401428	-66.4756397191	-68.2003824131	-62.5601391107	-64.2287946815
102.575	-62.3083284575	-51.8298856097	-66.478112183	-68.2067485832	-62.543036173	-64.2240800608
102.6	-62.3149565218	-51.7402561276	-66.4807559696	-68.213439128	-62.5267783992	-64.2198679724
102.625	-62.321926502	-51.6477891834	-66.4835794498	-68.2204472959	-62.5112985585	-64.2162233204
102.65	-62.3292489397	-51.5522980428	-66.4865835753	-68.2277659324	-62.4965396666	-64.2131959351
102.675	-62.3369421263	-51.4535718835	-66.4897490053	-68.2353871674	-62.4824545495	-64.2108227716
102.7	-62.3347183077	-51.3513751602	-66.4930290601	-68.2433023306	-62.4690056578	-64.2091300282
102.725	-62.3260656979	-51.2454461762	-66.4963551021	-68.2515020443	-62.4561645703	-64.2081350735
102.75	-62.3140323269	-51.135494869	-66.4996459829	-68.2599757662	-62.4439109809	-64.2078481342
102.775	-62.2952997841	-51.0211998087	-66.5028171586	-68.2687105884	-62.4322314019	-64.2082737351
102.8	-62.2713012612	-50.9022043789	-66.5057888978	-68.2776898657	-62.4211178548	-64.2094119046
102.825	-62.244247957	-50.778111426	-66.5084930836	-68.2868923998	-62.4105666956	-64.2112591651
102.85	-62.2159504503	-50.6484763749	-66.5108769467	-68.2962925587	-62.4005776148	-64.2138093355
102.875	-62.187704985	-50.5127993371	-66.5129034775	-68.3058612822	-62.3912244113	-64.2170539105
102.9	-62.160389826	-50.3705164873	-66.51454966	-68.3155676513	-62.3825341761	-64.2209819193
102.925	-62.1345756481	-50.2209904277	-66.5158037039	-68.3253806394	-62.3745121821	-64.2255795117
102.95	-62.1106145663	-50.0634988392	-66.5166621429	-68.335270729	-62.3595228353	-64.2308296588
102.975	-62.0887062173	-49.8972205187	-66.5171274054	-68.3452111981	-62.3393952123	-64.2367122179
103.0	-62.0689454226	-49.7212178149	-66.5157842486	-68.3551030502	-62.316374522	-64.2432044012
103.025	-62.0513561372	-49.534414375	-66.5117785099	-68.3647724548	-62.2921185577	-64.2502815344
103.05	-62.0359153462	-49.3355656694	-66.5050015394	-68.3740215869	-62.2677424644	-64.2578901211
103.075	-62.0225696417	-49.1232206459	-66.4957538478	-68.382679695	-62.2439713357	-64.2659391866
103.1	-62.0112465731	-48.8956734942	-66.4844827887	-68.390631297	-62.2212638807	-64.2743171354
103.125	-62.0018623781	-48.6509034708	-66.4716411007	-68.3978222716	-62.1998989637	-64.2829152687
103.15	-61.9943272769	-48.3864986001	-66.4575666959	-68.4042524373	-62.180034498	-64.2916443588
103.175	-61.9885491469	-48.0995564938	-66.4424604067	-68.4100163945	-62.1617474947	-64.3004414631
103.2	-61.9844361092	-47.7865524531	-66.4264303403	-68.4152010128	-62.1450614178	-64.3092695686
103.225	-61.9818983573	-47.443160823	-66.4095465756	-68.4198905084	-62.1299649314	-64.3181135212
103.25	-61.9808494331	-47.0639864119	-66.3918784985	-68.4241699932	-62.1164247539	-64.3269747654
103.275	-61.9812070814	-46.6422214081	-66.3735115946	-68.4281236779	-62.1043944435	-64.335866227
103.3	-61.9828937757	-46.1691685576	-66.3545500449	-68.4318320513	-62.0938203611	-64.3447910258
103.325	-61.9858369861	-45.6335440702	-66.3351121672	-68.4353500613	-62.0846456675	-64.3537247003
103.35	-61.9899692487	-45.0204362491	-66.3153235637	-68.4387002131	-62.0768129544	-64.3626140303
103.375	-61.9952280869	-44.3096048271	-66.2953105852	-68.4418817549	-62.0702233704	-64.3713890499
103.4	-62.0015558252	-43.4730427166	-66.2751839529	-68.4448846518	-62.064742286	-64.3799790707
103.425	-62.0088993314	-42.4711029364	-66.2550295143	-68.4477007201	-62.0602263767	-64.3883258958
103.45	-62.0172097149	-41.2460533103	-66.2349101051	-68.4503297531	-62.0565470471	-64.3963915567
103.475	-62.0264420029	-39.7111439859	-66.2148732055	-68.4527813962	-62.0536026544	-64.404160785
103.5	-62.0359560688	-37.7318309249	-66.1949589126	-68.4550559295	-62.0513211919	-64.4116396766
103.525	-62.0451514306	-35.0938043222	-66.175205576	-68.4571317495	-62.0496573169	-64.4188289374
103.55	-62.0537259765	-31.4527626757	-66.1556526902	-68.4589703543	-62.0485869714	-64.4257109368
