# presynaptic cell type	cell ID	spike times
L1_B1	2	281.536993809,
L1_B1	4	327.795117195,
L1_B1	5	17.1749691864,39.9424415159,
L1_B2	0	92.2186750602,130.022755688,
L1_B2	1	276.715262818,
L1_B2	5	222.040529965,
L1_B2	8	202.652677706,
L1_B3	0	65.4964114622,
L1_Beta	1	278.819436552,
L1_C1	0	34.5794936907,
L1_C1	7	11.0876350657,
L1_C1	9	14.4331613234,
L1_C1	14	86.4853842963,
L1_C2	0	121.650753957,
L1_C2	4	166.472435393,
L1_C2	7	128.119018899,
L1_C2	8	9.53341918338,
L1_C2	10	258.35938454,
L1_C2	11	169.373840909,259.65036398,
L1_C2	13	45.5289117769,77.6282824319,
L1_C2	14	110.004873602,
L1_C2	16	263.78724106,
L1_C2	18	165.418317823,
L1_C2	19	160.933511693,302.477789492,331.763462053,
L1_C2	25	130.796423961,
L1_C2	27	21.9976609202,
L1_C2	28	30.9656964727,
L1_C2	30	165.837830666,
L1_C2	31	184.34342866,
L1_C2	32	38.2662023245,190.595617762,
L1_C2	33	334.986659784,
L1_C2	34	73.0903992625,
L1_C2	35	69.8973542083,103.179502455,
L1_C2	38	26.882340648,
L1_C3	4	155.738868961,
L1_C3	6	64.723134665,
L1_C3	12	70.1580413833,
L1_D1	1	285.991325315,
L1_D1	3	300.421390064,301.511588457,
L1_D1	4	108.597934491,175.964307025,
L1_D1	5	297.753926825,
L1_D2	3	140.663039999,
L1_D2	6	324.086147686,
L1_D2	10	20.9150253883,161.158387275,
L1_D2	15	219.121106617,
L1_D2	18	318.481033655,
L1_D2	20	285.058962017,
L1_D2	22	215.71918608,
L1_D2	24	239.876719216,
L1_D3	2	256.302978367,
L1_D3	3	81.4528989321,
L1_E2	0	152.661309939,
L23Trans_B1	0	170.219882451,293.776063084,321.382413847,
L23Trans_B2	0	54.57088844,
L23Trans_B2	1	21.469003376,184.291530529,
L23Trans_B2	2	251.38092136,261.428686566,307.756846202,
L23Trans_B2	3	5.45533590985,169.692297179,271.767315162,324.080984911,
L23Trans_B2	4	3.68099158774,49.3863462431,188.644751358,232.807573521,307.886175206,336.363796307,
L23Trans_B2	5	259.049538536,276.387464472,285.805609466,
L23Trans_B2	6	281.405289457,302.981368614,322.160691567,
L23Trans_B3	0	263.477687669,
L23Trans_B3	1	169.137375209,261.148005687,
L23Trans_C1	0	158.857780937,209.969005422,222.441399377,263.830072979,
L23Trans_C1	1	120.684317254,186.819989186,194.173178202,251.542182592,252.802760002,
L23Trans_C1	2	103.059984494,140.370377933,236.465184876,247.536194632,255.716488766,342.881074413,
L23Trans_C1	3	47.1335108975,271.558937279,279.30889135,
L23Trans_C1	4	332.943922211,
L23Trans_C1	5	130.684126721,259.055217704,
L23Trans_C2	0	32.2338036014,53.0480923655,230.791478957,246.728820696,253.46235515,255.797886666,257.379081122,
L23Trans_C2	1	146.962758067,171.259119144,211.977872997,233.107566651,270.005702021,324.161687529,
L23Trans_C2	2	198.098231329,253.966840937,332.917962903,
L23Trans_C2	3	18.7607322054,134.903512679,309.944450054,
L23Trans_C2	4	54.0871558849,226.969834184,
L23Trans_C2	5	77.3757660521,
