t	Vm run 00	Vm run 01	Vm run 02	Vm run 03	Vm run 04	Vm run 05
100.0	-77.9585869118	-77.8206806884	-80.0842106574	-80.2079734279	-80.7979272719	-79.3335327456
100.025	-77.9727486191	-77.8175257255	-80.0566274103	-80.2170655878	-80.8038353839	-79.3371246579
100.05	-77.987224543	-77.8111012985	-80.0307858273	-80.2218672342	-80.8096945576	-79.3410770793
100.075	-78.001998157	-77.8019258442	-80.0065945823	-80.2188477663	-80.8155051774	-79.3453711442
100.1	-78.0170451952	-77.7905562265	-79.983959923	-80.2069346627	-80.8212676265	-79.3499885455
100.125	-78.0323287366	-77.7775365203	-79.9627893082	-80.1868772703	-80.826982286	-79.3549115638
100.15	-78.0477974634	-77.763368449	-79.9429937689	-80.1602941109	-80.8326495354	-79.3601231009
100.175	-78.063387529	-77.7484966979	-79.9244893318	-80.1290162498	-80.8382697515	-79.3656067115
100.2	-78.0790269	-77.7333038319	-79.9071977728	-80.0947458951	-80.8438433086	-79.3713466335
100.225	-78.0946406548	-77.7181110599	-79.8910469	-80.0589194401	-80.8493705781	-79.3773278118
100.25	-78.1101560629	-77.7031823085	-79.8759705188	-80.0226794706	-80.8548519282	-79.3835359151
100.275	-78.1255067887	-77.6887299494	-79.8619081912	-79.986896811	-80.860287724	-79.3899573462
100.3	-78.1406359712	-77.6749211432	-79.8488048701	-79.9522110227	-80.8656783271	-79.3965792428
100.325	-78.1554981728	-77.6618841718	-79.8360422455	-79.9190739839	-80.8710121801	-79.4033894714
100.35	-78.1700603149	-77.6497144047	-79.8226367356	-79.8877898565	-80.8762466851	-79.4103766144
100.375	-78.1843017643	-77.6384797157	-79.8076600286	-79.8585490971	-80.8812959439	-79.4175299502
100.4	-78.1982137542	-77.6282252782	-79.7904940779	-79.8314562124	-80.8860327364	-79.4248394285
100.425	-78.2117983165	-77.6189777321	-79.7708874358	-79.8065518227	-80.8903021624	-79.4322956418
100.45	-78.2250668924	-77.6107487512	-79.7488976798	-79.7838298918	-80.8939398478	-79.4398897921
100.475	-78.2380387673	-77.6035380643	-79.7247961445	-79.7632510068	-80.8967885393	-79.4476136578
100.5	-78.2507394492	-77.5973359865	-79.6989767507	-79.7447525063	-80.898709982	-79.4554595568
100.525	-78.2631990867	-77.5921255235	-79.6718847861	-79.7282561263	-80.8995916545	-79.4634203105
100.55	-78.2754509945	-77.5878841068	-79.6439677735	-79.7136736998	-80.8993493712	-79.4714892072
100.575	-78.2875303305	-77.5845850131	-79.615645008	-79.7009113296	-80.8979271298	-79.4796599657
100.6	-78.2994729507	-77.5821985188	-79.5872909844	-79.6898723666	-80.895295379	-79.4879266993
100.625	-78.3113144499	-77.580692831	-79.5592283408	-79.6804594719	-80.8914485042	-79.4962838802
100.65	-78.3230893865	-77.5800348325	-79.531726891	-79.6725759987	-80.8864019133	-79.5047263043
100.675	-78.3348306786	-77.5801906745	-79.5050062719	-79.6661268977	-80.8801890596	-79.5132490563
100.7	-78.3465691566	-77.5811262437	-79.4792405196	-79.6610193105	-80.8728585633	-79.5218474753
100.725	-78.3583332522	-77.5828075256	-79.454563467	-79.6571629778	-80.8644709711	-79.5305171205
100.75	-78.3701488043	-77.5852008865	-79.4310742458	-79.6544705486	-80.8550947096	-79.5392537391
100.775	-78.3820389619	-77.5882732876	-79.4088424625	-79.6528578426	-80.8448014845	-79.5370867691
100.8	-78.3940241649	-77.5919924447	-79.3879128288	-79.6522440893	-80.83366195	-79.5196172295
100.825	-78.4061221872	-77.5963269468	-79.3683091877	-79.6525521504	-80.8217424814	-79.4880587461
100.85	-78.4183482271	-77.6012463387	-79.3500379776	-79.6534812333	-80.8091034655	-79.4458203162
100.875	-78.4307150314	-77.606721178	-79.3330912275	-79.6544907142	-80.7957990409	-79.3965448772
