# presynaptic cell type	cell ID	spike times
L1_B1	1	228.198715976,
L1_B1	5	240.684218178,256.110451384,
L1_B1	6	77.9691949328,
L1_B1	7	316.100870039,
L1_B2	3	256.816541211,
L1_B2	6	222.765086799,
L1_C1	0	79.323480115,
L1_C1	3	98.3044772394,
L1_C1	6	99.8316766964,
L1_C1	7	9.74620533642,189.577153594,
L1_C1	8	85.8044845869,
L1_C1	10	96.6427619813,164.906447352,
L1_C1	13	224.178956744,
L1_C2	6	160.45407865,184.302846168,
L1_C2	7	175.965539621,
L1_C2	10	303.157185606,
L1_C2	12	256.90714641,
L1_C2	14	155.828176262,292.207428374,
L1_C2	18	74.4506369026,324.417954871,
L1_C2	19	169.807452285,
L1_C2	21	220.941599048,
L1_C2	31	258.574522816,
L1_C2	38	10.2266793712,
L1_C2	42	256.109162279,
L1_C3	2	35.6941327432,
L1_C3	7	236.576429068,
L1_C3	10	309.678654173,
L1_C3	14	282.545570755,287.229837761,
L1_D1	4	0.50167631936,56.0668287817,
L1_D2	0	181.141424836,
L1_D2	1	274.577432756,
L1_D2	2	105.969367754,128.709293363,175.435221644,
L1_D2	6	16.2187711886,281.318681629,
L1_D2	16	322.290551318,
L1_D2	25	47.275201862,
L23Trans_B1	0	277.752003838,
L23Trans_B2	0	18.4107807685,71.7972980017,126.075871417,192.402261086,259.462125282,343.634108083,
L23Trans_B2	1	83.3310490222,210.035804462,275.854427703,
L23Trans_B2	2	50.107327504,290.308493243,293.861916852,301.894613604,
L23Trans_B2	3	245.742119394,267.5898656,300.193666787,308.651192841,
L23Trans_B2	4	2.763356217,
L23Trans_B2	5	3.42132106755,55.3423569551,139.383198233,258.957864544,273.207732909,
L23Trans_B2	6	13.4115273131,95.3259136349,
L23Trans_B3	0	272.035638026,286.287193847,325.345224324,
L23Trans_B3	1	92.5026137808,138.250219368,205.785762435,260.726640084,291.052818551,330.003319179,
L23Trans_C1	0	6.96446042543,290.807033461,
L23Trans_C1	1	62.5248010239,145.968836346,222.110883893,326.378579292,
L23Trans_C1	2	37.2363167704,
L23Trans_C1	3	252.909685109,261.335706316,310.230200015,
L23Trans_C1	5	89.9285762264,240.554792713,318.298673376,
L23Trans_C2	0	165.137653887,254.125981549,
L23Trans_C2	1	30.8034809968,241.98346219,262.742886615,
L23Trans_C2	3	257.655375346,
L23Trans_C2	4	42.9598659698,159.40567372,253.868802854,254.128705021,
L23Trans_C2	5	72.9516574205,
L23Trans_C2	6	54.5290516969,289.304183656,291.531647159,
L23Trans_C2	7	26.5015421464,70.0810244485,217.580900054,264.30521376,
L23Trans_C2	8	45.9462124467,129.67268398,173.327440342,175.843419317,247.796938712,254.385301922,258.773754168,282.921451358,283.739294701,
L23Trans_C2	9	255.341970334,343.795022583,
L23Trans_C2	10	85.8330009508,250.005573507,
L23Trans_C2	11	9.78974180387,254.688442409,
L23Trans_C2	12	3.5621852406,72.3922863391,229.292920201,253.748464689,
L23Trans_C2	13	256.448653232,257.789003623,301.221994712,
L23Trans_C2	14	1.86915819055,253.306775561,287.108417451,306.351104017,
L23Trans_C2	15	153.942453467,186.012719435,
L23Trans_C2	16	43.6752265625,60.6533220216,254.589064047,342.414355006,
L23Trans_C2	17	183.244768021,259.367975536,333.194064604,
L23Trans_C2	18	240.572146836,246.952153426,324.603851509,
L23Trans_C2	19	7.87736983206,255.422933735,281.226646553,283.303850441,
L23Trans_C2	20	170.353203432,249.98577639,253.441069017,258.182654505,337.11023121,
L23Trans_C2	21	2.27240099769,253.284856669,258.099638255,
L23Trans_C2	22	79.361317976,311.107275424,
L23Trans_C2	23	48.5560552767,145.512764091,145.556334953,178.441982827,311.533921079,
L23Trans_C2	24	102.383198987,224.392298126,
L23Trans_C2	25	134.413407862,149.326655396,
L23Trans_C2	26	46.2949452977,46.7344597798,
L23Trans_C2	27	257.262926537,
L23Trans_C2	28	252.902502214,253.055113857,276.896001241,339.311476539,
L23Trans_C2	29	253.928804255,265.832052677,327.132169178,
L23Trans_C2	30	71.3708554461,177.95607279,226.799620116,
L23Trans_C2	31	26.0668697981,139.09792072,254.543033395,258.484365517,
L23Trans_C2	32	158.409253372,313.725109592,
L23Trans_C2	33	253.271890613,
L23Trans_C2	34	74.4914584276,120.069767633,307.807219689,333.913927721,
L23Trans_C2	35	13.3095512836,23.8865923876,239.043324693,253.503494367,257.661844206,
L23Trans_C2	36	312.227657307,
L23Trans_C2	37	53.1296109661,78.3447676492,116.691448539,253.405546751,258.118449041,276.079780984,
L23Trans_C2	38	11.9539100985,253.296428165,280.688038991,
L23Trans_C2	40	61.7463540453,101.976766921,130.543545849,335.991696271,
L23Trans_C2	41	257.325727364,288.366932928,336.960807677,
