# synapse type	synapse ID	soma distance	section ID	section pt ID	dendrite label	activation times
L1_C2	0	1369.15842248	48	12	ApicalDendrite	121.650753957,
L1_C2	4	1494.23797079	79	98	ApicalDendrite	121.650753957,
L1_C2	14	1452.24360667	73	16	ApicalDendrite	166.472435393,
L1_C2	23	1457.25246831	73	19	ApicalDendrite	9.53341918338,
L1_C2	26	1400.57641688	82	43	ApicalDendrite	9.53341918338,
L1_C2	27	1420.09060656	81	62	ApicalDendrite	9.53341918338,
L1_C2	33	1440.36518918	49	24	ApicalDendrite	258.35938454,
L1_C2	34	1409.2961727	46	6	ApicalDendrite	258.35938454,
L1_C2	37	1291.17296727	40	206	ApicalDendrite	259.65036398,
L1_C2	39	1308.87035168	59	16	ApicalDendrite	169.373840909,
L1_C2	50	1462.85932899	60	91	ApicalDendrite	45.5289117769,
L1_C2	54	1344.05880084	48	0	ApicalDendrite	110.004873602,
L1_C2	58	1355.26083275	57	33	ApicalDendrite	110.004873602,
L1_C2	66	1500.91047341	73	37	ApicalDendrite	263.78724106,
L1_C2	71	1420.3382842	77	47	ApicalDendrite	263.78724106,
L1_C2	84	1421.71484714	81	63	ApicalDendrite	331.763462053,
L1_C2	113	1564.00943693	64	74	ApicalDendrite	21.9976609202,
L1_C2	114	1287.27374625	62	55	ApicalDendrite	30.9656964727,
L1_C2	116	1395.88065105	56	11	ApicalDendrite	30.9656964727,
L1_C2	136	1246.46841956	63	44	ApicalDendrite	38.2662023245,190.595617762,
L1_C2	138	1435.27439984	79	73	ApicalDendrite	334.986659784,
L1_C2	139	1324.24276652	54	13	ApicalDendrite	334.986659784,
L1_C2	141	1533.80064198	57	109	ApicalDendrite	334.986659784,
L1_C2	142	1278.6654022	40	198	ApicalDendrite	73.0903992625,
L1_C2	145	1443.01864262	76	1	ApicalDendrite	69.8973542083,
L1_C2	147	1395.32716266	71	24	ApicalDendrite	103.179502455,
L1_C2	160	1423.36842623	50	26	ApicalDendrite	26.882340648,
L1_C3	7	1576.55284013	64	80	ApicalDendrite	64.723134665,
L1_D2	7	1468.25457945	41	67	ApicalDendrite	324.086147686,
L1_D2	8	1412.27153355	59	71	ApicalDendrite	324.086147686,
L1_D2	9	1386.08051476	59	60	ApicalDendrite	324.086147686,
L1_D2	21	1532.57320844	57	108	ApicalDendrite	161.158387275,
L1_D2	29	1347.91111394	59	42	ApicalDendrite	219.121106617,
L1_D2	39	1389.67329344	79	53	ApicalDendrite	285.058962017,
L1_D3	2	1201.822857	63	17	ApicalDendrite	256.302978367,
L1_D3	3	1501.22275387	82	92	ApicalDendrite	81.4528989321,
L23Trans_B1	0	1113.92872454	40	103	ApicalDendrite	170.219882451,293.776063084,
L23Trans_B2	3	974.222878958	51	5	ApicalDendrite	5.45533590985,169.692297179,
L23Trans_B2	4	1181.20901525	62	1	ApicalDendrite	49.3863462431,
L23Trans_B2	5	518.97417663	38	317	ApicalDendrite	276.387464472,
L23Trans_C1	0	1417.47124041	47	9	ApicalDendrite	222.441399377,
L23Trans_C1	1	1380.40880794	50	4	ApicalDendrite	186.819989186,
L23Trans_C1	2	1362.79587945	81	32	ApicalDendrite	236.465184876,342.881074413,
L23Trans_C1	3	878.315405976	38	549	ApicalDendrite	47.1335108975,279.30889135,
L23Trans_C2	0	1133.91806309	61	106	ApicalDendrite	255.797886666,
L23Trans_C2	1	1010.78004878	66	34	ApicalDendrite	211.977872997,
L23Trans_C2	3	996.084974249	40	20	ApicalDendrite	198.098231329,332.917962903,
L23Trans_C2	4	985.888039582	40	12	ApicalDendrite	134.903512679,
L23Trans_C2	8	163.810774825	9	132	ApicalDendrite	35.3693197515,102.64930541,
L23Trans_C2	9	522.695049356	38	321	ApicalDendrite	256.431992343,
L23Trans_C2	11	892.65507886	38	559	ApicalDendrite	256.431992343,
L23Trans_C2	13	1043.78014046	51	47	ApicalDendrite	178.049389068,
L23Trans_C2	15	931.204521717	38	587	ApicalDendrite	85.590160553,85.8693480708,251.540730086,253.209101815,316.184184435,
L23Trans_C2	16	1007.86014521	61	25	ApicalDendrite	253.209101815,
L23Trans_C2	17	1061.76748857	61	59	ApicalDendrite	85.8693480708,251.540730086,253.209101815,281.997603998,290.495600992,316.184184435,
L23Trans_C2	21	1482.38855004	73	29	ApicalDendrite	175.327732219,275.101875607,
L23Trans_C2	22	738.219527811	38	460	ApicalDendrite	95.0798479352,175.327732219,275.101875607,
L23Trans_C2	23	347.294852667	29	22	ApicalDendrite	12.0259184856,38.336160119,239.501066017,333.445983938,
L23Trans_C2	25	991.631492482	61	14	ApicalDendrite	52.1472772925,135.813076828,
L23Trans_C2	27	1294.01463328	80	69	ApicalDendrite	64.998860367,
L23Trans_C2	30	966.403677696	66	5	ApicalDendrite	9.41285017365,
L23Trans_C2	32	1040.30805917	51	44	ApicalDendrite	10.2462576959,320.30462156,
L23Trans_C2	33	1064.21429525	40	69	ApicalDendrite	75.4861174346,
L23Trans_C2	35	1191.04505445	63	9	ApicalDendrite	53.93230792,
L23Trans_C2	37	1308.34005614	68	13	ApicalDendrite	212.0759545,330.976486829,
L23Trans_C2	38	1407.08560569	82	46	ApicalDendrite	105.022009525,
L23Trans_C2	40	995.507528469	66	25	ApicalDendrite	137.721880819,268.263043819,
L23Trans_C2	41	1058.05539534	51	58	ApicalDendrite	266.292948026,
L23Trans_C2	42	992.981525967	51	16	ApicalDendrite	27.2657359008,
L23Trans_C2	45	296.828516403	23	106	ApicalDendrite	93.1248592505,274.725342613,
L23Trans_C2	46	1037.25960358	51	42	ApicalDendrite	93.1248592505,
L23Trans_C2	49	594.107449774	38	374	ApicalDendrite	120.573140018,
L23Trans_C2	50	1203.37932047	63	18	ApicalDendrite	80.8964249138,276.594731757,
L23Trans_C2	53	1178.71923326	51	127	ApicalDendrite	105.415691028,184.117348973,
L23Trans_C2	54	1293.37667345	53	22	ApicalDendrite	184.117348973,
L23Trans_C2	55	154.822968613	126	77	Dendrite	322.154868971,
L23Trans_C2	57	1361.63858793	60	37	ApicalDendrite	67.5729107183,226.576372702,
L23Trans_C2	58	331.174984862	38	70	ApicalDendrite	219.402231964,295.524516228,
L23Trans_C2	60	176.120194819	20	19	ApicalDendrite	256.627629944,
L23Trans_C2	61	400.232695293	37	108	ApicalDendrite	255.03122825,
L23Trans_C2	62	946.194934004	38	596	ApicalDendrite	18.2673960229,
L23Trans_C2	63	51.9800575134	150	1	Dendrite	326.650497702,333.746466654,
L23Trans_C2	66	978.875465561	40	7	ApicalDendrite	305.982564888,
L23Trans_C2	67	1323.50761621	62	80	ApicalDendrite	253.961748069,
L23Trans_C2	68	1029.47601611	66	48	ApicalDendrite	15.1729888842,188.300203632,
L23Trans_C2	70	1004.44647047	51	22	ApicalDendrite	107.369504858,
L23Trans_C2	72	1140.89368479	66	122	ApicalDendrite	180.798520012,256.568797693,
