Presynaptic column	Presynaptic cell type	Connected presynaptic cells
A1	L1	18
A1	VPM	169
A1	SymLocal4	125
A1	SymLocal5	55
A1	SymLocal6	122
A1	L34	2858
A1	L6ccinv	507
A1	SymLocal2	229
A1	SymLocal1	259
A1	L23Trans	237
A1	L6ct	2606
A1	SymLocal3	437
A1	L5tt	817
A1	L6cc	884
A1	L45Sym	162
A1	L4py	551
A1	L2	1814
A1	L45Peak	226
A1	L4ss	1376
A1	L56Trans	337
A1	L5st	1028
A1	L4sp	946
A2	SymLocal5	65
A2	L6cc	960
A2	L45Peak	230
A2	SymLocal4	156
A2	L23Trans	254
A2	L6ct	2573
A2	L34	3072
A2	L45Sym	197
A2	L2	1837
A2	L5tt	862
A2	L6ccinv	506
A2	L5st	1069
A2	L4sp	899
A2	SymLocal6	109
A2	L4ss	1423
A2	L4py	598
A2	L1	28
A2	SymLocal2	220
A2	L56Trans	353
A2	SymLocal3	409
A2	VPM	177
A2	SymLocal1	286
A3	L6ccinv	424
A3	L2	1324
A3	L23Trans	131
A3	L5tt	636
A3	L56Trans	304
A3	SymLocal6	88
A3	SymLocal3	283
A3	SymLocal1	186
A3	L6ct	1969
A3	SymLocal4	112
A3	L1	27
A3	L6cc	737
A3	SymLocal5	57
A3	L4ss	1072
A3	L4sp	712
A3	SymLocal2	131
A3	L34	2358
A3	L4py	381
A3	L45Peak	141
A3	VPM	148
A3	L45Sym	140
A3	L5st	891
A4	L5tt	735
A4	L23Trans	125
A4	SymLocal4	134
A4	L56Trans	346
A4	L34	2311
A4	L1	12
A4	SymLocal5	53
A4	L4sp	809
A4	L6ct	2097
A4	L45Sym	130
A4	L2	1208
A4	L4py	380
A4	SymLocal6	107
A4	VPM	111
A4	L5st	953
A4	SymLocal3	303
A4	L45Peak	137
A4	L6cc	772
A4	SymLocal1	182
A4	SymLocal2	105
A4	L6ccinv	434
A4	L4ss	1081
Alpha	L4ss	1503
Alpha	L4py	488
Alpha	L6cc	835
Alpha	L23Trans	158
Alpha	L6ccinv	441
Alpha	SymLocal2	133
Alpha	SymLocal3	366
Alpha	L2	1620
Alpha	VPM	158
Alpha	L56Trans	372
Alpha	SymLocal4	112
Alpha	SymLocal5	52
Alpha	L34	2827
Alpha	L6ct	2485
Alpha	L4sp	986
Alpha	L45Peak	164
Alpha	SymLocal1	215
Alpha	L45Sym	153
Alpha	L5tt	740
Alpha	L5st	977
Alpha	L1	17
Alpha	SymLocal6	130
B1	L5st	1048
B1	SymLocal1	253
B1	VPM	313
B1	SymLocal3	441
B1	L4ss	1691
B1	L23Trans	179
B1	L6ccinv	488
B1	L34	3399
B1	L56Trans	324
B1	L6cc	789
B1	L4sp	1079
B1	L45Sym	185
B1	L6ct	2507
B1	L1	33
B1	L45Peak	222
B1	L4py	638
B1	SymLocal2	177
B1	L5tt	710
B1	L2	1841
B1	SymLocal6	133
B1	SymLocal4	155
B1	SymLocal5	54
B2	SymLocal1	351
B2	SymLocal6	130
B2	L6ccinv	514
B2	L45Sym	207
B2	L23Trans	313
B2	L34	3717
B2	L45Peak	240
B2	VPM	322
B2	SymLocal2	298
B2	L2	2353
B2	L6cc	921
B2	L5tt	861
B2	SymLocal4	172
B2	L4ss	1651
B2	L1	52
B2	L5st	1187
B2	L4sp	1117
B2	L6ct	2552
B2	SymLocal5	56
B2	L56Trans	373
B2	SymLocal3	473
B2	L4py	729
B3	L5st	1134
B3	SymLocal5	50
B3	L45Sym	170
B3	L5tt	885
B3	SymLocal2	210
B3	L23Trans	205
B3	L2	1975
B3	SymLocal6	104
B3	L6cc	938
B3	VPM	264
B3	L4py	576
B3	L4ss	1485
B3	L6ccinv	482
B3	SymLocal4	141
B3	L34	3245
B3	SymLocal1	286
B3	SymLocal3	398
B3	L56Trans	374
B3	L45Peak	214
B3	L4sp	991
B3	L6ct	2311
B3	L1	41
B4	SymLocal5	78
B4	SymLocal3	569
B4	L4sp	1021
B4	SymLocal2	192
B4	L2	2022
B4	VPM	144
B4	L1	25
B4	L23Trans	204
B4	SymLocal1	280
B4	L5st	1558
B4	SymLocal6	164
B4	SymLocal4	213
B4	L6cc	1267
B4	L45Sym	230
B4	L5tt	1243
B4	L34	4702
B4	L6ct	3587
B4	L4ss	1419
B4	L6ccinv	773
B4	L4py	800
B4	L56Trans	560
B4	L45Peak	255
Beta	SymLocal5	75
Beta	L34	3963
Beta	VPM	219
Beta	L2	1727
Beta	L4sp	1224
Beta	SymLocal4	152
Beta	L4py	717
Beta	SymLocal6	162
Beta	L45Peak	186
Beta	L45Sym	206
Beta	L1	20
Beta	SymLocal3	436
Beta	SymLocal2	149
Beta	L5st	1236
Beta	L23Trans	191
Beta	L56Trans	438
Beta	L4ss	1973
Beta	L6ct	3107
Beta	SymLocal1	254
Beta	L5tt	959
Beta	L6cc	1064
Beta	L6ccinv	528
C1	L6ccinv	568
C1	L1	36
C1	SymLocal3	470
C1	SymLocal4	159
C1	L56Trans	410
C1	L6cc	1057
C1	SymLocal6	130
C1	L45Sym	193
C1	L6ct	2945
C1	VPM	343
C1	L4ss	2126
C1	L2	2039
C1	SymLocal5	52
C1	L5st	1221
C1	SymLocal2	141
C1	L23Trans	187
C1	L34	4006
C1	L5tt	977
C1	L4sp	1351
C1	SymLocal1	268
C1	L45Peak	210
C1	L4py	751
C2	L45Sym	283
