# synapse type	synapse ID	soma distance	section ID	section pt ID	dendrite label	activation times
INH	0	2.773219888264773	1	2	Dendrite	538.1177818100422,572.2029338495485,
INH	1	6.052402478015857	1	3	Dendrite	104.216680142867,215.8006333850521,
INH	2	6.774373382890617	1	3	Dendrite	580.5457758668202,
INH	3	6.868862967254891	1	3	Dendrite	245.73849337329224,
INH	4	7.152545727702272	1	3	Dendrite	438.7922855521067,
INH	5	7.315972803973621	1	3	Dendrite	72.09091354021417,
INH	6	7.463387626446588	1	3	Dendrite	154.40340130649548,
INH	7	9.421334282600236	1	4	Dendrite	578.7946473992372,
INH	8	10.813656784183186	1	4	Dendrite	323.3256868205683,565.8338005856342,
INH	11	16.346396855248965	1	8	Dendrite	203.29487386254155,
INH	12	16.346396855248965	1	8	Dendrite	70.57433613568105,
INH	13	17.63618712207134	2	0	Dendrite	28.7594570504816,434.6745269779919,581.555292874787,
INH	15	20.830266064454317	2	2	Dendrite	168.0030551552874,
INH	16	27.735548922487855	2	5	Dendrite	1.9841029053153365,192.2920820983147,
INH	17	29.757051682544805	2	6	Dendrite	346.00378007897064,
INH	18	33.08915382191659	2	9	Dendrite	603.2489581747514,
INH	19	33.76431078645406	2	9	Dendrite	642.7418250078131,
INH	20	35.099986612005424	2	10	Dendrite	472.4872199178184,
INH	21	36.626605201657455	2	12	Dendrite	6.164699963572224,
INH	22	37.449204774379616	2	12	Dendrite	613.0241259830367,
INH	24	39.663477204320934	2	13	Dendrite	423.3274854954863,
INH	25	40.02455522394243	2	13	Dendrite	218.38526882522515,
INH	26	40.67088494242597	2	14	Dendrite	362.04531743504737,
INH	27	43.27324095126143	3	2	Dendrite	242.73599914430864,306.88403148084967,591.913407578331,
INH	28	45.09592963423079	3	3	Dendrite	267.8286805214348,470.4751614614028,
INH	31	48.28004425441411	3	6	Dendrite	30.731758444351158,470.7390087042698,
INH	33	52.2536183201373	3	10	Dendrite	600.0803177529368,
INH	36	53.9002372563221	3	11	Dendrite	26.470262756944827,471.2514452226678,
INH	37	54.4840825206325	3	11	Dendrite	568.6412789439297,
INH	38	55.67448917831501	3	12	Dendrite	606.2652313424765,
INH	40	58.987977650902	3	15	Dendrite	293.9515381256541,608.1943834275891,
INH	41	61.06402451402343	3	16	Dendrite	440.26074474783667,
INH	42	63.52535314645027	3	18	Dendrite	328.73717732304004,601.9540788838307,
INH	44	67.57463941044935	3	20	Dendrite	603.8914646444491,
INH	46	70.78304916511728	3	22	Dendrite	33.257711239642056,474.5533959897895,
INH	47	71.67930981771819	3	22	Dendrite	268.14365219173936,472.153530941618,
INH	48	73.371447559921	3	24	Dendrite	197.80566627976197,262.97227475506503,392.60245949435927,
INH	50	75.14636462033343	3	25	Dendrite	349.05849386233774,637.4110305521106,
INH	51	76.34966325836204	3	26	Dendrite	8.640256591841945,469.29659069371263,630.7901964450789,
INH	53	78.36456846954056	3	28	Dendrite	75.25884533153469,
INH	54	78.42665065243935	3	28	Dendrite	585.2729167942342,
INH	55	84.76621393018672	3	34	Dendrite	99.3315730344115,270.2106960205708,
INH	56	86.33654072216534	3	35	Dendrite	383.4288091340027,
INH	57	88.4142510680987	3	37	Dendrite	543.5487948131358,
INH	60	91.61273465210355	3	40	Dendrite	545.9881234017115,629.0181620752055,
INH	61	92.5191455728716	3	41	Dendrite	222.37195778612536,
INH	62	97.64309024195735	3	43	Dendrite	539.2691915679129,
INH	63	98.39466350541456	3	44	Dendrite	20.7802159540945,120.79646112164541,
INH	65	106.01838343044729	3	49	Dendrite	317.48922288789623,471.8421357637055,472.1261559829651,
INH	67	106.8689667346567	3	50	Dendrite	155.05230713193916,
INH	70	112.49216086884323	3	54	Dendrite	350.5459060167469,567.0833297073177,
INH	71	115.43462430839071	3	56	Dendrite	299.81223015074613,
INH	74	121.71888815897594	3	61	Dendrite	600.3065254604353,
INH	75	123.20386236318636	3	62	Dendrite	347.20887041701826,
INH	76	124.24115169739024	3	63	Dendrite	224.96675615723842,
INH	77	124.96855493518468	3	64	Dendrite	9.25213178287154,
INH	78	130.95587457499465	3	69	Dendrite	91.0646018858161,
INH	79	132.5553113882698	3	70	Dendrite	160.54702286933437,
INH	80	133.11991774986257	3	70	Dendrite	534.2829024996665,
INH	81	135.07850144688007	3	71	Dendrite	408.4262842513732,
INH	82	136.94366350582231	3	73	Dendrite	262.09327818982257,
INH	84	138.3599732099417	3	74	Dendrite	147.17150810922286,379.01440066327365,
INH	86	139.3662434378912	3	75	Dendrite	235.5304528226204,
INH	87	142.77556917836682	3	77	Dendrite	356.3971320136145,
INH	88	143.86647800746667	3	78	Dendrite	589.0413883151962,
INH	89	146.49213188176003	3	80	Dendrite	616.8803778219524,
INH	92	152.4942626416711	3	84	Dendrite	161.14335001320185,367.32987700890413,386.7111867305095,
INH	93	155.9951427508276	3	86	Dendrite	259.2616554120112,401.6278394437322,
INH	95	156.88024340846832	3	87	Dendrite	49.535322292433435,578.860693644189,
INH	96	161.06145849329732	3	88	Dendrite	239.9921606457349,
INH	99	166.59873261487508	3	91	Dendrite	100.46828247276486,
INH	101	44.19684710434929	4	3	Dendrite	188.73441950678767,
INH	102	44.54345447882391	4	3	Dendrite	186.24447278751785,306.2714313284985,558.6641154638241,
INH	103	45.103732076737	4	4	Dendrite	554.8460251683451,
INH	104	47.312917803420525	4	5	Dendrite	594.183924322136,
INH	106	52.63120493040051	4	9	Dendrite	318.8581558493815,
INH	108	53.10435443770657	4	9	Dendrite	212.71890237241374,312.59166548467687,471.93166380364335,625.5253359530798,
INH	109	55.67003051536796	4	10	Dendrite	383.7830310844561,
INH	112	57.647125101828955	4	12	Dendrite	108.4474833563607,
INH	114	64.23812784424453	4	16	Dendrite	219.92783152962414,470.39592039730735,
INH	115	64.914064766213	4	16	Dendrite	185.58304778494,619.4642516422906,
INH	116	65.2441902683864	4	16	Dendrite	445.4251877686648,630.1659177557736,
INH	119	67.06696330871159	4	17	Dendrite	52.89801577668252,163.46356239852418,400.4529090951367,
INH	120	67.72654148109912	4	17	Dendrite	158.52736200670026,438.21640275997885,443.4988473484784,
INH	121	71.71549107934891	4	20	Dendrite	579.04910892259,
INH	122	71.85584012208156	4	20	Dendrite	448.3336824987512,
INH	124	73.05774917376634	4	20	Dendrite	336.0146783130649,
INH	126	77.85584477593937	4	23	Dendrite	476.2768294090219,
INH	128	80.33628611027319	4	24	Dendrite	25.323401475044452,352.18189555153504,
INH	129	85.76582170061022	4	28	Dendrite	518.4125094629552,
INH	130	88.72406093821682	4	29	Dendrite	157.00054604809515,446.651281669833,550.9787955722951,
INH	131	89.11853220558594	4	29	Dendrite	321.6242282996182,
INH	132	89.58894841309048	4	30	Dendrite	619.476197017839,
